Strategy,Label
An sich selbst glauben,23
Mit Freunden darüber reden,27
Die Angst erstmal zur Seite schieben u. auf die erste Klausur warten,-1
Angst ignorieren,9
Ich rede meine Fähigkeiten schön,23
ich rede meine Mitstudenten schlecht,-1
ich arbeite an meinen Fähigkeiten,-1
ich investiere mehr Zeit als die anderen ins Studium,25
"ich lasse das Studieren sein, suche mir etwas leichteres",-1
ich arbeite an meinem Selbstwert,23
ich rede mir selbst Mut zu,23
"ich suche mir Personen, die mich unterstützen können, denen es ähnlich geht",-1
ich suche nach den Gründen für die Sicherheit der anderen,-1
Sich noch zusätzlich motivieren,24
Hart an dem eigenen Ziel arbeiten,-1
"Wissen, dass es mehr oder weniger vom Individuum selbst abhängt",33
Zusätzliche Stunden ins Lernen investieren,-1
Sich seiner Ziele bewusst zu werden - ist mein Ziel wirklich der Beste/die Beste zu sein?,-1
Sich anstrengen,24
"Ich gehe nicht zu den Vorlesungen, sondern lerne von Zuhause",25
ich ignoriere es und konzentriere mich nur auf mich,-1
ich versuche mich mehr anzustrengen,24
ich beginne ein Fernstudium,25
ich suche einen Persönlichkeitstrainer/Coach auf und lasse mir helfen,6
ich verwende Hypnose/Meditation um mein Selbstbewusstsein zu stärken,6
ich werte die jüngeren Studenten innerlich ab,-1
"Ich halte mir vor Augen, dass meine Erfahrung durch die Auszeit mein Vorteil ist.",23
Ich strenge mich mehr an.,24
Ich meditiere.,5
"mir sagen, dass ich genauso gut bin",23
"immer mitlernen, um gleich gut zu sein",-1
mich nicht mit anderen vergleichen,-1
nicht an meinen Fähigkeiten zweifeln,23
"Ich frage sie, woher sie ihre Motivation haben und versuche mich auch begeistern zu lassen",-1
Ich kapsle mich ab und versuche die Prüfungen in meinem Tempo zu schreiben,-1
Ich werde aus Frust zum Alkohol greifen,-1
"klar machen, dass man mehr Erfahrung hat",23
vornehmen viel zu lernen,25
Fähigkeiten klar machen,23
sich mit ihnen messen und schauen,-1
mit jemandem darüber unterhalten,27
"Zuspruch von dritten bekommen, wie gut man ist",23
trainieren,-1
Ich denke mir „nicht so schlimm“ und warte erst mal ab ob sich das bestätigt,33
Ich versuche schon ab der ersten Stunde mit ihnen und dem Stoff mitzuhalten.,-1
"Es juckt mich nicht, denn ich habe eigene Fähigkeiten und gehe auf das Ziel gerichtet mein Tempo.",-1
"Ich lese über Berichte von Persönlichkeiten und merke, dass diese auch mit harter Konkurrenz zu kampfen hatten",-1
"Abwarten, meine Erfahrung wird mir helfen",-1
Studenten suchen die in der gleichen Situation sind,-1
Mehr Lernen um wieder in den alten Rhythmus zu kommen,-1
Junge Studenten anfreunden,-1
Nach Hilfe fragen,21
Ablenkung,-1
Aufrechten Gang einnehmen (auf Körperhaltung achten die selbstbewusst wirkt),-1
"Gespräche mit anderen Studenten suchen, um festzustellen ob es tatsächlich so ist",-1
sich zuhause hinsetzen und mit Stoff auseinandersetzen  wo man unsicher fühlt,-1
sich an seine Leistung zuvor erinnern um sich zu beruhigen,-1
"positiv sehen > wenn alle so gut, kann man viel lernen!",-1
"Fokus auf eigene Lebensziele, nicht jeder kann alles",-1
"Ich habe mehr Erfahrung, v.a. wichtig",23
Ich lerne viel,25
"Sie haben den Club, ich die Bib",-1
"Ich reagiere rechtzeitig, wenn ich nicht mitkomme",-1
Ich informiere mich an der Uni,-1
Ich frage meine Freunde nach Rat,21
"Ich erkenne, wie stolz man auf sich sein kann",23
Ich stelle einen geregelten Tagesablauf her,19
"Ich sehe die Vorteile, die mir meine Situation bietet",-1
Ich schließe mich einer Lerngruppe an,25
Sich mit anderen anfreunden,13
Gedanken mit Freunden teilen,-1
Viel lernen um mögliche Schwächen zu überdecken,-1
Herausfinden ob sie wirklich so fähig sind,23
Selbstvertrauen stärken,23
Lernen,-1
Anstrengen,24
offen mit Angst umgehen,18
Fragen warum das so ist,-1
mit Freunden/Bekannten austauschen,29
"bewusst machen, dass man auf anderen Gebieten mehr Erfahrung hat",23
gutes soziales Umfeld suchen,-1
wenig Zeit an der Uni verbringen,25
Hobbies suchen,8
Ablenkung,-1
spezialisieren im Wissen,-1
best. Fähigkeiten trainieren,-1
weinen,-1
Abend mit Familie,7
auf Sozial leben be***,-1
"An die eigene Zeit als Jungstudent zurückerinnern & daran denken, dass es jedem mal so ging",-1
Kontakt zu den jüngeren Student/innen aufbauen & sich austauschen,-1
Mehr lernen,25
Lerngruppe bilden,25
sich mit den anderen ausserhalb der Uni treffen > Konkurrenz schwindet bei Freundschaft?,-1
Studienfach wechseln/Studium abbrechen,17
private Nachhilfe nehmen,25
mich mehr über (Berufs-?)Erfahrung definieren,23
"Ich lerne viel, um mithalten zu können",-1
"Ich sage mir, dass ich mehr Lebenserfahrung habe",23
"Ich versuche, mich nicht mit anderen zu vergleichen",-1
Ich breche das Studium wieder ab,17
ich spreche mit Nahestehende über meine Gedanken,-1
ich nehme vielleicht die Psychologische Studienberatung in Anspruch,6
"ich frage die jüngeren Studenten, ob sie wirklich so überzeugt von ihrem Fähigkeiten sind und wenn ja, wie sie es machen",-1
ich lese Tipps für mehr Selbstbewusstsein,23
"ich bemühe mich noch mehr, als ich es eh schon mache",23
sich mit den Student/innen anfreunden,-1
hart arbeiten/lernen,-1
"mit Profs reden, sehen dann man Anschluss findet",-1
Angst in Motivation ändern,-1
"Ich versuche mich nicht mit den anderen zu vergleichen, sondern mit meinem „vergangenen Ich“",-1
Ich vermeide Seminare & Vorlesungen und erarbeite das meiste Zuhause,25
Ich führe mir meine Stärken vor Augen,23
Ich denke an die Erfahrungen die ich durch das höhere Alter gemacht habe,23
Ich informiere mich bei den Professoren und bemühe mich besonders gut zu sein,25
lerne sehr viel,25
versuche mehr Selbstvertrauen zu bekommen,23
wechsle das Studium,17
vertiefe mich in Arbeit,-1
konzentriere mich auf mich selbst,-1
versuche nicht hinzuhören,9
spreche mit Mitstudierenden,-1
spreche mit Freunden,-1
arbeite/lerne alleine,25
frage Mitstudierende um Hilfe,-1
bilde Lerngruppen,25
bei Freunden Unterstützung holen,21
sich sagen dass man dafür mehr Lebenserfahrung hat & mit anderen Sachen besser umgeht,23
sich sagen dass nicht jeder den gleichen Lebensweg nimmt & es auch okay ist,33
sich davon motivieren lassen & zeigen dass man es auch schafft,-1
sich in der Freizeit mit Fachliteratur auseinander setzen,-1
"sich einfach auf sich selbst, nicht auf andere konzentrieren",-1
"sich erinnern, dass man vor der Auszeit auch zuerst gekommen ist",-1
"sich Freunde unter Studenten suchen, um sie weniger als Rivalen zu sehen",13
mehr lernen,25
Lerngruppen bilden,25
Entspannungstechniken oder Yoga probieren,5
persönlichen Fortschritt und Entwicklung wertschätzen,23
"sich erinnern, dass Auszeit sehr notwendig war und man nun gestärkt wieder starten kann",-1
"Ich erinnere mich daran, dass ich bereits einige Jahre Studienerfahrung habe",23
Ich lerne fleissig und bereite mich gut auf Vorlesungen vor,25
Ich vertraue in meine eigenen Fähigkeiten,23
"Ich baue Kontakt zu ihnen auf, um bald festzustellen, dass andere auch Angst haben",-1
Sich selbst bewusst machen wie man als junger Student war,23
Es ist einfacher sich an Dinge zu erinnern als sie komplett neu zu lernen,-1
Die Uni meiden - Wenn möglich online Dinge erledigen,-1
härter lernen,-1
den austausch suchen,-1
sich seine schwäche eingestehen und nach Hilfe fragen,-1
Meditieren,-1
Akzeptieren den Situation,-1
Fokus auf eigene Arbeit,23
Ablegen des Konkurrenzdenkens,-1
"Freude über junge, fähige Menschen",23
Kommunikation & Kontakt mit jüngeren > Lernbereitschaft,-1
Hinterfragen der eigenen Intention,-1
"Nur weil sie jünger sind als ich, heisst es nicht dass sie besser sind als ich",23
Ich werde den Stoff aufholen,-1
"Ich überzeuge mich davon, ob sie wirklich besser sind",-1
Ich versuche sie zu vermeiden/ignorieren,9
Ich lern härter als alle anderen,25
"Ich rede mit meinen Freunden, um mich aufzuheitern",-1
Ich freunde mich mit KollegInnen an u. integriere mich.,13
Ich konzentriere mich auf mich selbst.,-1
Ich erinnere mich an die Zeit vor meiner akademischen Abwesenheit.,23
"Ich sage mir selbst, ich bin kompetent.",23
Ich lese ein Buch ü. Selbstwertsteigerung.,-1
Ich sehe was ich ausserhalb des Studiums alles kann und schätze mein Leben,-1
Ich verbringe möglichst wenig Zeit  an der Uni,-1
"Ich beweise ihnen, dass ich gut bin und gebe mir große Mühe",23
Ich baue mich ein & versuche meine Kollegen etwas näher kennenzulernen,13
Ich schätze meine Freizeit und Hobbies,8
"Ich lasse mir von den Kollegen helfen, wenn sie sich besser auskennen.",-1
Lernen,-1
Nicht vergleichen,-1
Mit ihnen gemeinsam lernen,25
Sie als Ressource statt Konkurrenten sehen,-1
anfreunden,13
Gelassen bleiben - Uni ist nicht mein Leben,-1
Freunde treffen,-1
Kaffee trinken gehen,11
fluchen,-1
Tief durchatmen,-1
Spazieren gehen,-1
Jemanden anrufen,10
Reflektieren,-1
Situation rational betrachten,-1
"Schauen, dass es mir in allen anderen Lebensbereichen gut geht",33
Selbstbild positiv stärken,23
Sport,-1
Spaß haben,-1
Tanzen gehen,-1
"herausfinden, was mich interessiert & dem nachgehen",-1
mit anderen über Konkurrenzgefühl sprechen,-1
andere abwerten,-1
Angst akzeptieren,18
mich mit anderen über Studis vernetzen & austauschen,-1
Balance durch ausseruniversitäre Aktivitäten,-1
mehr Lernen,25
Lerngruppen beitreten,25
sich nicht unterkriegen lassen,-1
Lebenserfahrung als Vorteil nutzen,23
auf eigene Fähigkeiten vertrauen,23
"mit den jüngeren Studenten in Kontakt treten und herausfinden, ob sie wirjlich besser sind",-1
Ich spreche mit meiner Mom.,-1
Ich stecke alles an Zeit ins Lernen.,25
"Ich rede mir ein, dass es nicht so ist., Ich höre mir",33
Ich suche mir eine Lerngruppe zum gemeinsamen Arbeiten,25
"Ich rufe mir in Erinnerung, dass ich selbst in ihrem Alter auch arrogant war",23
"Ich suche mir alte Prüfungsfragen heraus, um die Anforderungen besser einschätzen zu können",-1
"Ich lerne einzelne Studenten besser kennen, um Vorurteile abzubauen",25
Ich vermeide Kontakt zu ihnen,-1
Ich glaube an meine Fähigkeiten,23
Ich suche Freunde unter den Studierenden,-1
Ich lerne daheim umso mehr,25
Ich erinnere mich an meine Berufserfahrung,23
"Ich rede mir ein, dass dies nur die anfängliche Nervosität ist",-1
Ich frage bei Freunden um Rat,21
Ich teile meine Sorgen,-1
Ich breche das Studium wieder ab,17
Lernen,-1
"mit anderen etwas machen, denen es genauso geht",22
Die jüngeren ignorieren,9
mir selbst sagen dass ich das kann,23
ich lerne doppelt so viel,25
in konzentriere mich nur aufs Studium,25
ich minimiere meine Freizeit,-1
ich treffe mich mit meinen gleichaltrigen Freunden,13
"ich erinnere mich daran, dass ich mehr Erfahrungen habe, als die anderen, da ich älter bin",23
"ich erinnere mich daran, dass man im Studium von Null anfängt",-1
ich konzentriere mich auf meine Stärken,23
ich schließe Freundschaften mit meinen Studienkollegen,13
"Ich versuche, mich auf mich selbst und auf meine eigenen Ziele/Leistungen zu konzentrieren",23
"Ich mache mich auf die Suche nach Leuten, die an einer Lerngruppe interessiert sind.",-1
Ich suche mir lieber Gleichgesinnte dann.,13
Ich probier mit ihnen zu reden und vielleicht einen Kompromiss zu finden.,-1
Ich rede mit ihnen vielleicht wirken sie ja nur so.,-1
Ich beobachte sie und schau ob sie wirklich gut sind oder nur so tun,33
"mehr lernen, um Rückstand aufzuholen",-1
"an bisherige Praxiserfahrung denken, die den anderen Studenten fehlt",23
Temporäre Natur des Problems vor Augen führen,-1
an andere eigene positive Attribute denken,23
mich mit ihnen anfreunden,13
mit alten Freunden reden und Zeit verbringen,-1
fleissiger lernen,25
die jüngeren Kollegen um Hilfe fragen,21
gemeinsam lernen,25
Wissen/Erfahrungen austauschen,-1
Studium wechseln,17
Tutorien besuchen,25
Vertraue in meine eigenen Fähigkeiten.,23
Strenge mich an meine Ziele zu erreichen.,-1
Vergleiche mich nicht mit anderen.,-1
Gehe nach meinem Tempo vor.,24
Versuchen mit ihnen eine Lerngruppe zu bilden,25
Mich motivieren lassen vom jungen Geist,23
Bei zu grosser Verzweiflung sie um Hilfe fragen,21
Versuchen mitzuhalten und Informationsplattformen finden,-1
Mit Freunden über meine Sorgen sprechen,-1
Ich lerne mit ihnen zusammen,25
Ich setze mich richtig dahinter,23
Ich spreche viel mit ihnen,28
Ich spreche mit jemanden anderen darüber,28
sich auf Uni konzentrieren,25
viel Zeit für Uni investieren,-1
"Mit anderen, denen es genau so geht, reden",-1
"Denken, dass man mehr Lebenserfahrung hat, deswegen jüngeren voraus",23
Viel Lernen und gut für Prüfungen vorbereiten,-1
mit Professoren darüber reden,-1
„sie sind noch jung“,23
Notendurchschnitte anschauen,25
aufhören mich zu vergleichen,-1
ich muss nicht die Beste sein,-1
mir meine eigenen Fähigkeiten klar machen,23
mit Freunden reden,-1
"Ich versuche mir vor Augen zu führen, dass ich sehr wohl mit ihnen mithalten kann.",23
"Ich werde sehr viel Zeit verwenden, um meine Nachteile durch lernen wieder auszugleichen.",24
"Ich schaue mir Erfahrungsberichte von älteren Studenten an, die sehr erfolgreich studiert haben",-1
Ich versuche diesen Gedanken zu ignorieren,9
"Ich versuche mich daran zu erinnern, wie ich damals war, als ich angefangen hatte zu studieren.",23
Gut vorbereitet zu Veranstaltungen erscheinen,19
Sozialen Anschluss suchen um zusätzliches Level einschätzen zu können,-1
Ausreichend und gut Schlaf > Vermeidung von Angstbedingtem Leistungsabfall,-1
Abgleich des Selbstanspruchs: Ich muss ja nicht der Beste sein,23
"Stressabbau (Sport, Lesen)",4
Ich informier mich über Erfahrungen anderer älterer Studenten,-1
"Ich akzeptiere meine Defizite und versuche, sie auszugleichen",-1
Ich lasse mich von Freunden & Verwandten bestärken/rede mit ihnen,-1
Ich versuche es einfach und lass mir notfalls von ihnen helfen.,21
Ich umgebe mich mit Leuten mit „meinem“ Wissenstand.,-1
"Ich schaue, was ich verpasst habe und versuche so gut es geht aufzuholen.",-1
Ich schwimme einfach so mit.,3
Ich wiederhole notfalls das Jahr.,-1
Ich frage meine alten Kommiliton/innen wie es ihnen geht,-1
Ich versuche mich in Lerngruppen einzubringen,25
Ich besuche alle Vorlesungen und lerne mit,25
Ich spreche mit Freunden/Verwandten um mich zu ermutigen,-1
"Ich spreche mit den jüngeren Student/innen, da sie vielleicht nur überzeugt scheinen über ihre Studienerfahrung",-1
"Ich versuche trotz der Angst nicht nur zu lernen, sondern auch ein Sozialleben zu haben",25
ich höre wieder auf zu studieren & gehe arbeiten,-1
ich höre auf zu studieren & gönne mir weiterhin Auszeit,-1
ich besteche meine Mitschüler mit Alkohol :),-1
"ich versuche mich, bei meinen Mitschülern einzubringen",25
"ich gebe mir selbst Motivation, alleine durchzustarten",-1
nach längerer Überlegung motiviert mit die Selbstsicherheit meiner Mitschüler,-1
"ich tagträume, wie schön die Auszeit war",-1
Versuche mein bestes zu geben,24
mit Vertrauten über Angst reden,18
mehr Zeit investieren,-1
mehr über Mitstudierende herausfinden,-1
damit abfinden,-1
mich nicht mit anderen vergleichen,-1
öfter entspannen,5
nachdenken über Vorteile meiner Erfahrung,23
Mir eine Lerngruppe suchen.,25
Mir meine eigenen Fähigkeiten in Erinnerung rufen.,23
Mich von meiner Familie beraten lassen.,21
Mir bei der psych. Studierendenberatung helfen lassen.,6
Versuchen es mit mehr Lernen zu kompensieren.,25
"Mir in Erinnerung rufen, dass Wahrnehmung und Realität oft voneinander abweichen.",33
In den Fächern wo ich unsicher bin Hilfe suchen.,25
Versuchen an Altfragen und. andere Infos zu kommen.,-1
mehr lernen als die anderen,25
Hilfe suchen,21
Altersunterschied ignorieren,9
in alle Lehrveranstaltungen gehen,25
Studium abbrechen,17
gleichaltrige finden,13
mehr lernen um mitzuhalten,-1
"einsehen, dass auch sie ihre Schwächen haben",-1
Nachhilfe gehen,25
mit Studenten anfreunden und „Gefahr“ besser einschätzen,-1
Universität verlassen,-1
Therapie gehen um Angst zu behandeln,6
"einem selbst Mut zusprechen, dass man es schafft",-1
anderes Studium wählen,17
ich nutze meine Lebenserfahrung als Ausgleich,23
ich vertraue auf meine Fähigkeiten,23
"ich versichere mir selbst, das auch packen zu können",23
ich übe um gleich gut zu sein wie die anderen Student/innen,-1
ich spreche mit Freunden über meine Angst,18
ich hole mir Rat von meiner Mutter,21
ich mache eine Soll/Haben Liste,19
ich beruhige mich,-1
nahezu jede Vorlesung besuchen & mitschreiben,25
versuchen Lerngruppen zu bilden,25
schon von Anfang einen Zeitplan aufstellen,19
der Sache entspannt entgegen seh & schauen was kommt,-1
"Dir bewusst machen, dass sie vermutlich auch Angst haben",18
Zum Therapeuten gehen,6
Extra viel lernen,25
"Bewusst machen, dass sich vergleichen nichts bringt",33
"Bewusst machen, dass man mehr Erfahrung hat",23
Zu den jungen Studenten Kontakt aufbauen & mit ihnen reden,-1
"Klar machen, dass alle die selben Ängste haben",18
Den Konkurrenz Gedanken nicht als Voll zu nehmen & nicht im Vergleich zu setzen.,-1
Die Ängste mit FreundInnen zu bereden.,18
"Ich spreche mit Menschen, die in der gleichen Situation sind, wie ich",-1
"Ich nehme das Konkurrenzverhalten nicht ernst, schliesslich studiere ich für mich!",-1
"Ich erinnere mich daran, dass ich in meiner Auszeit viele andere Erfahrungen sammeln konnte",23
Ich spreche mit Freunden/Familie über meine Ängste.,18
"Ich spreche mit meinen jüngeren KollegInnen, vielleicht lerne ich von ihnen.",-1
"Ich sehe dies als Ansporn, mich in das Studium reinzuhängen.",23
Ich versuche mich nicht weiter zu vergleichen,-1
"Ziehe es durch, lerne extrem viel > Gute Noten",25
Breche Studium ab,17
"Freunde m. an, versuche wie die anderen zu sein (u. so zu fühlen)",-1
"Halte m. vor Augen, was ich im Ggstz. (zu jüngeren) schon geleistet habe",23
„Ihnen hat noch niemand Ggenteil bewiesen (bzgl. Fähigkeiten),-1
Self-handicapping,-1
baue Kontakt zu Mitstudenten auf,13
lerne sehr viel damit ich mithalten kann,-1
rufe meine beste Freundin an,10
lass mich durch die Angst motivieren,-1
breche das Studium wieder ab,17
nehme angstlösenden Medikamente,1
rede mit Professoren,-1
schau mir einen netten Film an,4
geh shoppen,-1
geh gut essen,11
halte mir mein Ziel vor Augen,-1
"Freunde finden und herausfinden, ob Angst berechtigt",-1
Mehr lernen und Fähigkeit ausbauen,-1
Mit einem Prof. über die Anforderungen sprechen,-1
Kolleg/innen direkt ansprechen,-1
Einfach auf sich zukommen lassen,-1
KollegInnen um Hilfe/Rat bitten,21
Universität wieder verlassen,-1
Studium wechseln,17
"Langsamer studieren, Zeit lassen",19
Nachhilfe,25
Ich verbessere meine Fähigkeiten,-1
Ich frage nach wenn ich Hilfe benötige,21
Ich freunde mich mit ihnen an (so werde ich auch jung),13
Ich lasse die UNI bleiben,-1
Ich warte ab und schau ob ich recht behalte,33
Ich investiere das Doppelte in eine Prüfung,-1
Ich überzeuge mich selbst dass ich das schaffen kann,-1
Ich rede mit Freunden darüber,28
Ich versuche Zuversicht in mich und meine Fähigkeiten zu haben.,23
"Ich versuche es als Antrieb zu sehen, um noch härter zu arbeiten.",-1
"Ich versuche neue Leute kennenzulernen, denen es ähnlich geht.",-1
Ich versuche mich auf mich selbst und meinen eigenen Erfolg zu konzentrieren.,23
Noch härter lernen,24
sich über bisher erworbene Fähigkeiten klar werden (Vorteil Berufserfahrung),23
"Fokus nur auf sich selbst legen, andere ignorieren",-1
Mit Kommilitonen darüber sprechen,-1
auf eigene Stärken konzentrieren,23
bei anderen nach deren Fehlern suchen,-1
"Studium abbrechen, zurück in den Job",-1
Lerngruppen beitreten,25
Wissen/Können raushängen lasen,23
Studenten in ähnlicher Situation zum reden suchen,-1
mit Professoren Seen,-1
Ich denke sie sind besser als ich,23
Ich arbeite mehr und konzentriere mich auf mich selbst,-1
Ich rede mit Freunden,-1
Ich versuche Anschluss zu finden,-1
"Ich denke, dass ich das schon hinbekommen werde, da ich sowas früher auch schon geschafft habe",-1
"Ich mache mir bewusst, dass mein Können nicht von meinem Alter abhängt",23
Ich spreche mit Freunden darüber,28
"Ich bekämpfe meine Angst, indem ich mich gut vorbereite",-1
Ich überzeuge mich selbst von meinen Fähigkeiten,23
Ich freunde mich mit Ihnen an um von ihnen zu lernen,13
"Ich konzentriere mich nicht darauf, was andre tun",-1
Ich vertraue auf mein eigenes Können,23
"Ich freue mich darüber, dass d. nachfolgende Generation so selbstbewusst ist",23
Ich rede mit Leuten in ähnlichen Lagen,-1
Ich frische meine Kenntnisse u. Fähigkeiten auf/Weiterbildung,-1
Ich stärke mein Selbstbewusstsein durch andere Bereiche (z.B. Sport),-1
Ich lasse d. ganzen ein wenig Zeit und betrachte d. Situation dann nochmal,-1
Ich rede m d. jüngeren Studenten um sie u. ihre Fähigkeiten besser kennenzulernen,-1
"Ich frage sie, ob sie mir helfen können.",21
Ich frage Freunde um Rat die in einer ähnlichen Situation waren.,-1
Ich suche mir zur Sicherheit Nachhilfe.,-1
Ich versuche mich vorerst mit anderen Fähigkeiten (Qualitäten) in der Gruppe zu etablieren.,-1
Ich spreche meine Sorge offen an.,-1
ich gehe offen auf sie zu und lerne sie besser kennen,-1
ich bin verunsichert und ziehe mich zurück,-1
"ich mache eine Liste mit Dingen, die ich gut gemeistert habe",23
ich rede mit meiner Mama darüber,28
"Die Angst verfliegt mit der Zeit, alles eine Sache der Gewöhnung",-1
Alter spielt keine Rolle,23
"ich bin um nichts weniger wert, nur weil andere Studenten etwas besser können",23
dafür bin ich in anderen Bereichen besser,23
"Ich arbeite stärker an meinen VOs, dafür mache ich weniger",-1
"Ich versuche, Lerngruppen zu finden",25
Die Motivation der anderen auf mich abfärben lassen,-1
"Ich überlege, was meine Fähigkeiten sind (evtl. habe ich ganz andere durch die Auszeit erworben)",23
Fokus auf Persönlich entwicklung und nicht Konkurrenz legen,-1
mich nicht an anderen messen,-1
"Versuchen, Fähigkeiten anderer nicht wahrzunehmen",-1
"Sich klar sein, dass sich junge Studenten überschätzen",23
Anschluss suchen um sie besser kennen zu lernen,-1
Selbst höhere Leistung aufbringen,24
Sich seiner eigenen Stärken bewusst machen,23
Über deren Naivität lustig machen,-1
Alten Studienkollegen suche und mit ihnen reden,-1
Neue Kontakte schliessen,-1
Mehr Lernen,-1
Lerngruppen beitreten,25
Mit den neuen Studenten Kontakt aufnehmen und vergleichen wie gravierend die Unterschiede wirklich sind,26
Sich der eigenen Stärken/Fertigkeiten bewusst werden,23
Studium abbrechen,17
Anstrengen um Fähigkeiten zu verbessern,24
andere StudentInnen um Hilfe bitten,-1
Nach Tipps ragen,-1
Auf mich selbst konzentrieren,-1
Nicht an anderen orientieren,-1
das Bestmögliche herausholen,24
Einen strukturierten Lernplan erstellen,25
Aufhören,17
Arbeiten gehen,-1
Anderes Studium suchen,17
"Sich selbst versichern, dass man genauso gut ist",23
Unterstützung bei Familie & Freunden suchen,-1
Nicht auf eigene negative Gedanken hören,-1
"Schätzen, dass man schon mehr Erfahrung hat & deswegen geeignet ist",23
Ziel vor Augen halten,-1
So positiv wie möglich denken,-1
Ich mache mir bewusst dass ich genauso viel kann,23
Ich lasse die Gedanken zu um sie dann logisch zu verarbeiten,-1
Ich vergleiche mein Können bevor ich vorschnell urteile,-1
Ich meditiere um Frieden zu finden,5
Ich lerne/übe mehr als davor,25
Ich berufe mich auf meine Erfahrung,-1
Ich halte mir mein Können vor Augen & versuche mein Selbstbewusstsein wieder zu stärken,23
Ich breche die Uni ab,17
Ich freunde mich mit Ihnen an u. erkenne schon bald dass viele genauso unsicher sind,-1
Ich arbeite u. kerne noch mehr,-1
"Ich lerne extra viel, um mithalten zu können.",25
"Ich baue auf meine Kompetenzen, dass ich es schaffe.",23
"Ich *** zu, ob sie wirklich so gut sind.",33
Daran lasse ich mich nicht beeindrucken.,-1
Ich spreche mit einer Vertrauten Person über die Angst.,18
"Ich nehme Medikamente, die mich beruhigen.",1
auf eigenes können konzentrieren,23
"weniger LVs besuchen, diese jedoch intensiv.",-1
"mehr lernen, aber auch mal ausgehen",-1
"Kontakt zu diesen Studenten suchen, mit ihnen lernen",-1
diese bei Fragen kontaktieren,10
sich selbst aufwerten (mehr Erfahrung etc.),23
"jüngere Studierende abwerten, schlecht machen",-1
Fähigkeiten d. anderen ignorieren,-1
Für sich selbst das Beste geben,23
"Mitstudierende bitten, Lerngruppen zu bilden",25
Studium aus Angst wieder sein lassen,-1
Mitstudierenden aus dem Weg gehen > keine Vergleiche möglich,-1
sich selbst nicht mit den anderen vergleichen,-1
Eine Studienberatung aufsuchen,6
Herausfinden wie Realistisch meine Angst ist,18
"Die jüngeren Studenten fragen, ob man gemeinsam lernen kann",-1
"Freunde aus höheren Semestern fragen, ob sie helfen können",21
sich einen realistischen Überblick über den Stoff machen,-1
Einen Zeitplan/Lernplan machen,19
sich beimLernen mehr anstrengen,25
sich nach dem Lernen Auszeit gönnen & sich ablenken,4
Ich suche mir Gleichaltrige,13
"Ich denke daran, dass ich das Studium für mich mache",-1
"Ich halte mir vor Augen, dass das Studium interessant ist",-1
Ich rede mit einer guten Freundin darüber,28
Ich gehe stattdessen arbeiten,-1
Ich lerne mehr,25
"Ich frage die Jüngeren, ob sie wirklich so überzeugt sind",-1
Ich lerne Entspannungstechniken,5
Ich stärke mein Selbstbewusstsein durch diverse Methoden,23
Ich rede mit einem Psychologen,-1
Ich versuche mich gründlich in das Material einzulesen.,-1
"Ich versuche, mit den anderen StudentInnen eine Lerngruppe zu bilden.",13
Ich spreche mit Freunden und Familie über meine Unsicherheiten.,18
"Ich rede mir gut zu, dass ich dafür schon mehr Lebenserfahrung habe.",23
Ich versuche mich nicht mit anderen zu messen.,-1
Ich spreche mit jemanden in einer ähnlichen Situation über meine Angst.,18
"Ich nehme mir nicht zu viel vor, um langsam sich langsam an den Studentenallt. zu gewöhnen.",-1
"Ich mache mir bewusst, dass ich trotz der Auszeit mehr Erfahrung mit dem Studieren habe.",-1
"Ich lerne und absolviere Prüfungen, um mir zu beweisen, dass ich die nötigen Fähigkeiten habe.",-1
"Ich denke an de Erfolge, die ich im Studium bereits erzielt habe.",-1
Mehr lernen,25
Viel Fragen,21
Geheim halten wie alt man ist,23
Soziale Kontakte meiden,-1
Alles geben um der Beste zu sein,24
Bei Freunden darüber auslassen,27
Familie das Problem schildern,-1
Videos zum Stoff schauen,-1
Bücher lesen,-1
"Ich rede mir ein, dass ich wertvolle Erfahrungen in meiner Auszeit gesammelt habe, die ihnen noch fehlen",23
"Ich bin realistisch, wir sind alle am gleichen Punkt & wissen/können gleich viel",-1
Ich konzentriere mich auf meine eigenen Leistungen,23
"Ich rede mit Freunden/Familie darüber & frage, ob sie ähnliche Erfahrungen gemacht haben",-1
"Ich vergleiche mich mit mir selbst (frühere Version von mir), nicht mit anderen",-1
Ich verwerfe mein Studium,17
Ich arbeite härter als alle und zeige es ihnen,24
Ich versuche meine Erwartungen an mich selbst herunterzuschrauben,23
"Ich warte ab, ob meine Angst überhaupt begründet ist",-1
Ich erinnere mich an frühere Erfolge und mache mir damit Mut,23
Ich versuche mich von ihrem Drive anstecken zu lassen,-1
Ich hole mir Tipps wie ich auf ihr Level komme,-1
"Ich freunde mich mit Ich lerne meine Mitstudentinnen kennen und bemerke, dass ich womöglich schon Mithalten kann",-1
Ich suche mir Hilfe mit dem Stoff bei meinen Mitstudentinnen,-1
Ich lerne noch mehr,25
"Ich probiere das erste Semester einfach mal aus und gebe mein Bestes, dann schaue ich ob ich das alles Schaffen kann",23
Ich suche das Gespräch mit einem mir bekannten Professor,-1
Ich versuche die nächsten Prüfungen so gut es geht zu schreiben,-1
mich mit den jüngeren Studierenden austauschen den (von mir geglaubten) Unterschied festzustellen,-1
mehr Zeit und Energie in die Vor- und Nachbereitung der VO investieren,19
"ich versuche, mich zu beruhigen und die Angst auszublenden",-1
